Economics and Business Economics
Philosophy
Human Geography and Planning
International Relations and International Organization
Industrial Engineering and Management
Public International Law
International Relations (120 EC)
DDM Social Demography
Real Estate Studies
Middle Eastern Studies
Film and Contemporary Audiovisual Media
Cultural Leadership
Applied Physics
International Humanitarian Action (120 EC)
DDM Sustainable Marine and Coastal Management
Theoretical and Empirical Linguistics
Behavioural and Cognitive Neurosciences
Philosophy and Science
Ecology and Evolution
Chemical Engineering
International Political Economy
Applied Mathematics
Arts and Culture
DDM Economic Development and Growth (MEDEG)
Ancient History
Spatial Sciences
Data Science & Society
Classics
Physics
Language and Cognition
Interdisciplinary Research in Health Dynamics
Mathematics
Econometrics and Operations Research
Talent Development and Creativity
Artificial Intelligence
Environmental Psychology
International Relations
International Security
Society Sustainability and Planning
East Asian Studies
Behavioural and Social Sciences
Marketing
International Economics and Sustainable Development
MSc Marketing - Marketing Analytics and Data Science
Medical Pharmaceutical Sciences
Religious Diversity in a Globalised World (EM)
Psychology
Finance
Deafblindness
Advanced European Union Law
Biomedical Engineering
DDM Development Planning and Infrastructure Management
Applied Cognitive Neuroscience
Popular Music and Sonic Cultures
Information Science
Econometrics Operations Research and Actuarial Studies
International Relations and International Organization
Media Studies
DDM Financial Management
Theology & Religious Studies
Applied Mathematics
DDM Urban Governance within a Global Environment
Religion and Pluralism Ancient & Modern
Business Administration: Health
Economics
Philosophy of a specific discipline
Biology
Communication and Information Studies
Industrial Engineering and Management
Journalism (English taught)
Research Master in Economics and Business
Work Organizational and Personnel Psychology
Global Criminal Law
Spatial Planning and Design
Chemical Engineering
Nanoscience
Archaeology
Heritage and Religion
Technology and Operations Management
Writing Editing and Mediating
Arts Media and Literary Studies
Technology Law and Innovation
Multilingualism
Classics & Ancient Civilizations
Sustainable Entrepreneurship
History
Applied Physics
DDM Urban Planning Environment and Infrastructure
Arts Culture and Media
International Business
Theory and History of Psychology
Accountancy and Controlling
Supply Chain Management
Master Legal Research
Biology
Theology & Religious Studies
Business Administration
Population Studies
Biomedical Sciences
Economic Geography: Regional Competitiveness and Trade
Energy and Climate Law
DDM International Development Economics
Astronomy
Klinische Psychologie
Islands and Sustainability (EM)
Information Science
Natural Language Processing
DDM Financial Management
Science Education and Communication
DDM Demography and Social Inequality
Arts & Culture
European Politics in a Global Perspective
DDM Marketing & Information Systems
International Business and Management
Global Politics & Sustainability
Environmental and Infrastructure Planning
Biomolecular Sciences
Media Cultural Industries and Innovation
Life Science and Technology
Religious Studies
International Commercial Law
Art History
Digital Humanities
Marine Biology
Mechanical Engineering
Philosophy
History of Architecture and Urbanism
Mathematics
Astronomy
International Relations (60 EC)
International and European Law
DDM Strategic Marketing Intelligence
English Literature and Culture
DDM Finance
Religion Conflict and Globalization
Modern History and International Relations
DDM Sustainable Water Management
Clinical Neuropsychology
DDM Marketing & Finance
Applied Linguistics and Multilingualism
Computing Science
Chemistry
Arts in Society
Clinical Forensic Psychology & Victimology
Philosophy Politics and Economics
Linguistics
Human Resource Management
Anthropology of Religion and Culture
Business Administration
Media Digital Transformations and Society
Learning in Interaction
Media Studies
Computational Cognitive Science
History
Energy and Environmental Sciences
Biomedical Engineering
Psychology (EN)
MSc Marketing - Marketing Management
American Studies
Curatorial Studies
Literary Studies
Molecular Medicine and Innovative Treatment
Geopolitics & Connectivity
Liberal Arts and Sciences
Classical Medieval and Early Modern Studies
Computing Science
English Language and Culture
Chemistry
Artificial Intelligence
Physics
Economic Geography
Fine Art
Physiotherapy
Bioinformatics for the Life Sciences
Energy for Society
Mechatronics
Master International Communication
International Finance & Control
Master in International Business and Management
International Business 3-year programme
European Master in Sustainable Energy System Management
Smart Systems Engineering
Molecular & Cell Biology
Data Science for Life Sciences
Mechanical Engineering
International Communication
Mechanical Engineering
Marketing Management
Creative Media & Game Technologies
International Facility Management
Electrical and Electronic Engineering
Renewable Energy Materials and Processing
Medical Biology
European Master in Renewable Energy
Biotechnology
Interdisciplinary Business Professional
Sensors & Smart Systems
Energy Governance
Creative Media and Game Technologies
International Law & Relations
Energy & Power Electronics
International Business
